country,market_segment,adults,children,babies,customer_id
CHL,Direct,2,0,0,1e3dbcebcf94fe8cc1f95bd11874af054c058721399f7bafc00670340ea43fcb
SUR,Online TA,2,2,0,2a1c3c0815c2aa1e6e00941b6c26bea5f8c25dde22a0f2933af8609f7d71f938
SWE,Online TA,2,0,1,bb5fdfdd31b011e448ce272f6b5f85b0429fb5e0e562eae618a9bd364784f007
GBR,Direct,4,0,0,da2639ceda85d3694d173a2942e9cd3d48fe78dd9112e5d94cda355f05914192
BLR,Offline TA/TO,2,0,0,a24a8b77d589df477f74518cfe39b2d70d924cf39bbb4662d8d91516b8a11a17
CHN,Direct,3,0,0,3c0ca4e3ba6c8fdb8e1d3497f11aa73c8483963c9e7a58dbe6b6b7ab030fe0d1
GBR,Online TA,1,0,0,90807aec7246b97d14c3a0335d69d6f9028ad2cbf4418c9fbc8118c7dfdc0069
BRA,Online TA,1,1,0,58fb9a9c1997b5ec9c0501f546eb5e5dfa7771c0d8a7db64ceb57e4cef715d0b
PRT,Online TA,1,1,0,2fcbeb9705cf699b3bb9d09abaf735da8e3e4552605009442ce5f9efad4913d3
CN,Online TA,2,1,0,c0df53f82fa8d027bff19241f7a390fc28e31453fa84941fe53ab8fc21abca48
USA,Direct,3,1,0,7ee218481cc46ad24fd4e69e8bb1bcddf66a9b1660fe2e4880d4b91395268a6e
URY,Online TA,2,0,0,fe2627c6c84efade3da3417a505c0105ddc0c10497e22b4dc4aef3c70ae3c498
POL,Online TA,2,0,1,545793f1b3c8470b4c2278bc0a8c26a690e8a07659a7f6925699cc21b23d133d
PRT,Direct,2,0,0,3875062f1584a2df972efbbb76571d187cb86b0a0ea6b3096f6765cc9a106c46
BRA,Groups,1,0,0,377339819a5a57612bfec83ef9a11a8bd72e34948870d6242915ec7e8667d966
AGO,Complementary,3,0,0,bcffc2d9e2e59e69e5e36fb509aceb43b681b3653a302fc6b993398b3da6fc64
BEL,Online TA,2,1,0,3b2d5f5e64fa779f01d667162f7aa6a22ec6246968a2ae6a876b3033be65dd33
BEL,Online TA,2,3,0,f053068e91a000fb50c92bf2b57d395bc8b37d0fd26d0b5460662d8740a01dc9
AUS,Corporate,1,0,0,2ddd23282ab7fff8d75cf3ce3989762a84b0ee6732ab1b80aeb298b971446d65
CN,Corporate,1,0,0,0f68e277c58b85cc91a121355daa36e18897c36b36c0b651fd860565f8d3110c
POL,Offline TA/TO,2,1,0,1bce9cdabec42cf8578bec49d5fed036e5b46f1e9bd3513db8116f45ee24f72d
GRC,Online TA,2,0,0,4442ff5c31bc8d5aeb9da685c5b8cd73ecd2ad347392b22902efb7fe0ce04c2d
PRT,Online TA,1,2,0,14d29fd59d3d12569f2e5dc014526e113e2827316206baf5115a22f1467502f8
BEL,Groups,2,0,0,61cf41385c487634c7bc27b2e8ef704737958bdecb839d62ce1e60f9b7ebefb3
NULL,Direct,3,0,0,9463f0c7ed63a88b4cabfd9b57e2bf09b0f965ee1f28cb1d807c8402da2882ce
FIN,Online TA,3,1,0,b435b3d1924bac6974e7d8118ea5009ee85f74b8c48b4321d44c7d9690c9cb2d
CHL,Online TA,3,0,0,8cc23da7bbdf3a983eb08efd218c226fe8a319fd0dab1258789947a3cfd96ecc
IRL,Complementary,1,0,0,ec2bea09f2d449e80672692173e216308c5b538283f3bc6716c25b22c90ea5ec
ROU,Direct,2,0,1,c162ec911dcaa16b1beb1ddcc762f403e50efc87a6756ac86b771ca8b7e35b94
NLD,Online TA,2,0,0,02d1322d8be9ae359d79269828947eb317241d4994f429057a7e7595c23bf7c5
SWE,Offline TA/TO,2,1,0,43f6e912786d7221fb1d0996c204d35f9ca4d1d17cb2fe5e743e0035798e4d43
SWE,Direct,1,0,0,83ac21ec849fa4fb3aa4759074337be6276bf0402c873291f664d41d5f9325fd
NZL,Groups,2,0,0,e882c3a8e6072966a13d5071265b360581beeaa765e8ace79c3df8286b56d268
CHN,Offline TA/TO,2,0,1,f70c8c1956462244d7eb7ccdc758a23340afa1c46dbaa8170c02cd5fe84f467a
DEU,Online TA,1,0,0,2a75f9de8dac45bca0a37cec8085c8ba77b507aa71444cc632fe76c217332b86
ROU,Offline TA/TO,2,0,0,3be5709720ac6906d54cade3461d0170d5e96ddef499bbb50a06a36238357ea5
POL,Direct,2,0,0,4a59bd1b3fe7cc2348a60e46f3a6220fe671bf48f40b66b57d952e601a2c580d
LVA,Online TA,2,1,0,625ae5ced0d7327050d852d104f3e99260e812587a9da78d33c6c93f07b247b8
AUS,Online TA,3,0,0,02db1132fd9d407d09a9d494f3e87f9734db32b9ce252e0b3a75a8801f242916
MDV,Online TA,2,0,0,37152f3d6df2a3faf0e38969d98aef87cc6ec0660d07542ccaf777c7ffcdc290
PRT,Online TA,2,2,0,825f4b2d881360c88cfb32112ce7402ad9f15eeba8ad0dbdb180f5d729fed36b
GBR,Direct,2,2,0,102dc0573058612eddd9619e8c440e84d1896a9ee4a70e8fd962b08d6e1e59e7
FRA,Offline TA/TO,2,1,1,404d8a9b8778183fe43852c70ba08f9cdf05bf226e9e2122cf2c485c542fc661
PRT,Direct,2,3,0,87997531bf5b3a9d24e19c3475af100b6cfc92cc41059324b12897d0a539d016
ITA,Online TA,2,0,1,58d546815f81d1a03ee6d590829e62e366a2b11b605ce9322f22256416f8e5c0
ROU,Online TA,2,1,0,f058bf3f631d6ba9efc1b157bd61115d8d04d515781ea4423944c3958d538806
SVK,Online TA,2,2,0,34b09d54c19cd53bfb1eea00833fec72b1789dbf5743311608a22a2430650651
BRA,Offline TA/TO,2,0,0,e16d83d044e787638b8b7279ec107c5e708d0ad0d44942e19a72b27202f54102
SWE,Online TA,1,0,0,a4ca08a91c9a3ab50850fc405b6178f887af824c29a84af7a450a63046343d1a
DEU,Groups,1,0,0,0bbd697d44273ab212360a8c77c9c2391899332f3edb0073dfce5c508f0054ec
DEU,Offline TA/TO,3,0,0,2a5c635e1f40a618f329ef035cfa83c864e25330b9752abcaeddbcde89c0b80c
ROU,Offline TA/TO,2,0,1,4adefbc793de71fd553fd8fece55a9a136b9ae020f26458cea712f6db35bd4a1
BRA,Online TA,2,2,1,2f7656c34a5b76b96b22637f899a83f7e37d4c0c47af83272e5045a8eeab31fb
BEL,Online TA,2,0,0,134f899c872f55f67c51867b522d64fd2e478e638b9f44a5328bc01b9fa31f11
IRN,Offline TA/TO,2,0,0,30c51edf7f0a7463c5d09e6458dbf678c4ca20be212e74f84597cb831a9a1d5d
CHN,Offline TA/TO,3,0,0,975562dd963bcc3345876bdc596764da50494264d38b9154eb6dd1e574216b50
UKR,Online TA,1,0,0,7e43d88f4650f18b1bb25ada1f6186f210f49b364dc374a3486a1bb393c7f8e0
POL,Offline TA/TO,2,0,0,b761a12a729f18a9ed20c73788a9fac749fb3260a9cb65c7bb47f156b05ceacd
IND,Online TA,1,1,0,a0a9c73a4f2e241305ed4d5544350cd351a120090e35e2fb9cc38123cae81c96
ESP,Offline TA/TO,2,2,0,3a946cb0f4078b955caa7dde76d39f0fd04f2ca6d82b5327bbf04ab895255ae1
RUS,Online TA,2,2,0,a7d97bb79d756d175cc74df8f9d4fa20b78b7fc753e35c4ec8fba6c2ea0fad20
UKR,Direct,2,0,0,f1f5596971cfcefe4cb64844dc07f20d5a4d1d5b0a3c2a928b2a551d5c68a519
FIN,Online TA,1,1,0,a5fa40392877a8407f8d304298a2f64730b53af14eb66b6a0cac78854f6315ea
PRT,Groups,2,0,0,d8be7907f8f96434c9da5d38aa77a2757913859f818b9e16a2a883dac0434b01
MOZ,Online TA,2,0,0,181b499a6a80316c24bc1526a35c7b1cc14e1b87e36230048fb6705957072d26
HUN,Online TA,2,1,0,e0cf6db00a728322b3f1ce3507e7771bc1f24907a15fda72d1847d45ad315e3c
SWE,Groups,3,0,0,4c6c804e71d03662e023a32b1627281dce16076a9bef80e94df2550586bb2b2d
PRT,Complementary,2,1,1,623475a2a80f117495a0b09a56ada14bc623ba0766ccb3109a8642f62a5fe4c3
NLD,Online TA,3,1,0,d88ddcd0882520cd464d6dc9a88c34c1d0c79cf1d4ca541c98e5ce0cd44dd2cd
FRA,Offline TA/TO,2,2,0,ad378fcd1ea6005f4e71077009df23a4efe8c9abf97a69eafd71bc7eda34ab86
ITA,Online TA,2,0,0,d7062b7f6b10a7a73e40e3c5ca0577253813613d96d59fe82633da6cc2e6f7ed
ITA,Corporate,1,0,0,477f43c372cf00cd992034dec5401586af19c0cc7465ca7fdc9c7f9efcb4df8d
DEU,Groups,2,0,0,a0cd4b2ab3d141f032b184d4b8d4cb7a91620f620d12ad04ba8407afed1d5fad
MYS,Offline TA/TO,2,0,0,635883877354af4b5abf8ec3be3ea6c765a935bc0df6bad6d695cf1b0eb0d907
ITA,Offline TA/TO,2,1,0,08dbaf5e9a46682ddf7a7a7aedcc0437719a024f27f206af19e8398eb328d68f
AUT,Groups,2,0,0,5287b085db2666b7178e2fb6abaedab88dd2216226c9740aef56cdf3445f8dbe
MWI,Online TA,2,0,0,08696b6541e0b987af0e94f3bafaae0f9f97d5efe2ddb59e3afd74d898a5ead3
PRT,Corporate,1,0,0,5ce68c503e5bd94424354a6fe6f19fc8ba162ff6242c049a6c3d658ff9c6f988
CHE,Online TA,2,1,0,2fb6e2d22b2ca47261e82db2bca2858a9a5c66c073bba96c502fcd68775b9724
CN,Groups,2,0,0,45afd556cb138f2529d61cc7e9fde89f8922e5e72f970367e24331f94e67c292
NOR,Direct,1,0,0,0b2f0d4d5620a82f79e8547c823ed19086dd93dc07a9d2f1e9a742eaba239d99
GRC,Direct,2,0,0,b4b261c0144243d86cdd56f0e3659f7131bdb9441d9d26a9465991925e54cdd3
BRA,Direct,2,1,1,09a17867ecd7d7146795e6d8c2765c6099c4aa892d6330ba012704cd55a984a8
GBR,Online TA,2,0,2,1a57be76827ff2bcc88878cb55240ee1550fcf009c4ca78c2fee732e41f4c49d
AGO,Online TA,2,0,0,8985e351c167a7877bb67fb2fdb3438f95f464081742ba0c7fd438984e812919
SRB,Corporate,1,0,0,e0cc43ac599e6037a00c557cb87dafaa298d946ce148c25492cf5772d9e7783e
PRT,Online TA,2,0,1,10c447d3b40aecd4d1897b70240935bc97f1fdfd674ceb4e4f67bb7d6b245cb8
ALB,Offline TA/TO,2,0,0,a0fe2eb954480cd9bfcdd1bf4247cf40eca9d2c52ee66f8f8839f8cb57990df4
ESP,Online TA,1,0,0,b8431b56ee301718fd4d01de1addcdb994c7a37fbfa8d82b4de46701e10f3640
CHN,Online TA,2,2,0,20962b414854f2430f5f0a7de1c7f9bd9d7950d061df60b859a9f1ee6857dd70
SVN,Direct,2,2,0,189ed058a3f270022cff908df466fb36710b21efcd8f8d98303c6e3187bf3a57
PRT,Direct,2,2,0,fa1675ebec5c59d02d27c14e1c2cc3e7477f185dba82c903a9aaf5fd0c6af2b2
RUS,Offline TA/TO,2,0,0,796067815928b55e11f38255b194112a9862faed775281277a2b81aad619fa65
JAM,Offline TA/TO,2,1,0,9a59cad20f6369cd91050d8dd97370eab2b80271e8ced3bfe2e306507ef36293
NULL,Groups,2,0,0,f5d3767a84d481c1e646e16e462b3b50b14cf5fe44a6ea447bd9370cfcc76493
NOR,Offline TA/TO,2,1,0,fa4f4a5199277e86581cfa6d674aa55b8d49f1fbe2884b1d140bd27bb584bd65
NLD,Online TA,1,0,0,141f37e6273da65869bc668e23b7defad66d56149746673e8b164a8611ed49e3
CHN,Online TA,2,0,0,ea08870ee1f13fba7361dc24bd6d646dd6a307b70f245076befa5ccee13a2e34
NOR,Online TA,2,2,0,3bd73377ef94d75b68a2f49bf85927366b5cfa6952a030a1236b50c5848fc2d3
GIB,Online TA,2,1,1,70ff9638d1304460c5b5cd5f0567b75f2bfbd814a4a43258808fed86f93060de
SVK,Online TA,3,0,0,a96e5fea8f1a8bc152cc88ebde27873c841bed23f3468319ca2009593627734c
LVA,Direct,3,1,0,ff4ca87968d37c2280aaaa4503ea16fb828bf9d4fdafa3f5c91ce40fc6ac1964
SWE,Online TA,2,2,0,f23a66deab1c0d747762786d7e14b1ea229a7277f25dec33982e17702a662dff
EST,Direct,2,0,0,297c95e74ce260bb768b8c5bd895bc903c83f8eb4be43433d2f2610f92927f18
POL,Direct,3,1,0,236b517417d96fe5550a8f9024e8229e6f389c5b0b280c46fdc8111f6c1c5bc5
DEU,Direct,2,0,0,0db8e6292bac5b9109c7a1e09f95e905d36ad95600c40fbbdde4218711fa55e4
PRT,Direct,2,0,1,d04a24fd44e3ef7c7ea3716b26d2f95959f210753db81bd36d2bc68a00a26c52
UZB,Direct,2,0,0,904675f20747967c8ae79359e09a4ec1771acc16e9f42bf1126806aa58d603c7
DNK,Direct,1,0,0,1f37c8383cb70787abc2cba30e3d0129e2f18f73f09a032841727b3f733c296f
JAM,Online TA,2,0,0,de782bd548477757dd799d82ffbb6f5272e0aae20a28c980cb67acb4e1e078d4
GBR,Offline TA/TO,1,0,0,e24f98aad1882fcbc4cbfb180768bf9238ba2a2505107d105f7995a7f0933333
NULL,Direct,2,0,0,2982ad7502a98c736881e011c644e01054adef5118e6528da516007a3abbc9b2
USA,Online TA,1,1,0,5bf4ceb8d95c79b5ce1103f6fa339e75bee35171545998f750aa8e143bb0792d
AUS,Online TA,2,1,0,8059d52a967f316d60788f59293107cab51e6e794762026aaf4b2427676212be
URY,Corporate,2,0,0,c2802fd22b05c523ab3fa2e7c9216ec9650f4500c7c4c53fab68ce32cfebe141
PRI,Online TA,2,0,1,5da5a5d232e0c2b2306cfb5c399d01a5ff91733465661453bf477b7f4a9da505
CHL,Online TA,2,2,0,8ed3ca251726ce331f01d24b5b2d84fc10b310949f946ba144ae3f8ff72d675a
LUX,Offline TA/TO,2,0,0,25fd135141486995c6ab57449af0fef7e389b059f5b384b6037f10c071af03d1
HUN,Complementary,2,0,0,05c45cd38902b0a7278e1087fe8a44c0def518df451ac640546f2dbd21640891
GBR,Online TA,3,0,0,29e59ffbbe15b57717900217773d69f560edfed319a081c893dd6a12b7c8f355
CHE,Offline TA/TO,2,0,0,2c45030f4a75a370fd3a4f5b281d2fdd49d074bcf6706f10a6947e4a0861d88b
FRA,Direct,2,0,0,7fe5fc7c498064c3aff9956af7e077dd3f6d2842bdb1b508b65239964d00944b
FRA,Online TA,2,0,1,0c5b03d07eda3fa16a982e0bd5b555bc247a532607de31f58faac6d1fd1a481a
AUS,Corporate,2,0,0,920c6ceb1c14600a602a88bf12ddbf76d6f390f80606e5993fe4eefd9011432b
POL,Direct,2,1,0,7e79a39b355aa7d547a1a503f2b7fc9a614f1616586e60c90de427d709a2b237
USA,Direct,4,0,0,f84ddf0b671bcd40450ae692e0309609be40e0325100b562be4dc509cce87748
IRL,Corporate,3,0,0,e1d0c16e170cbeb58fb24e7bbbd16fd27def5a4bed31818177210c6395b40cc5
GBR,Offline TA/TO,2,2,0,8102ba243b0776802df41b424b8e5e6359f723adb726557e3f12c5e09cf44963
NLD,Groups,2,0,0,572264562c8bdb47d7b318444d0e934bdca9182ea108e11ddcc60c48b19b546f
DNK,Online TA,3,0,0,eb44c52cab9b8204c348471d390f33922f7f7aaff1bfdc8c5bac19c93c1eb8dd
USA,Offline TA/TO,2,0,0,3652fb5e58a0d09fc6214c7be2ac13f158e77a66c642952398799c4bdf7b2a19
NLD,Direct,1,0,0,23d260ad354c131d74699c9907f76cfabc6b3305fe06caff4a9e7518d6f1509a
NULL,Direct,2,0,2,31c74e2d9204b72665471d5f17cbe6e0885847a598664630a7d51a3a7eef30f0
BRA,Direct,3,1,0,e24cf87981e918ff5ef34ef60f79b669962f3e194aacc84c2574e84a7d7d0062
SWE,Groups,1,0,0,fbc56527bcc5d7bdb4e193bcf6a1e3c508f8d385ea0bbace299af2bb4f5bf727
LUX,Online TA,2,0,1,57e9d96c868a1faad73749af6c24be7bf472dc8dd82a38c0c0eb46b6ced24ad3
LTU,Online TA,2,0,0,5493909267a6817d2d41a28e6fa5b5265ce00eb695700b1b6e435a8125dbaaa5
CHN,Groups,2,0,0,9218d20dd0d1a53442974ecefb4156ca42835757b136b5652ae31ebb58944755
ESP,Direct,2,2,0,2674143235b7cfb21d682913fc0b8c533c4809d8cfc7d876d7930295ba687c50
SMR,Corporate,2,0,0,d162784c916e9a938448b5f373b06198e5a164efdc480383125e31b2b5ed7257
GBR,Groups,2,1,0,befaca224f13dc1954b2b7c315eb3912c5230a535c6611ecefe129885ccbbaec
ESP,Online TA,3,1,0,806c4af6da4daf660c703eb70d832dcd850b931b47ac362a591fd0475fb78ce0
DEU,Direct,3,0,0,4844385afac446e9a6d85481e0ff1b36615062f18097dba2f64f3a0b6f8dd846
IDN,Offline TA/TO,2,0,0,88c5b58058fb278a4184059a112083376c28014199404e3a267ac05f28509620
POL,Online TA,2,0,0,d6991b9da5c0c99791ee527276c863d8f75d73943a5b0ed8d959fd1550a43879
THA,Online TA,2,0,0,e6002279a96bc6f1b527a7021e14a4a3a422a255d6658523a3aa43443b86fb35
MAR,Corporate,1,0,0,13c37319812375df0f456734a9a48c4e74d0044842604628722d9276dcb7e156
AUT,Online TA,3,0,0,f4c5c985c714974e41363c8c69739af4ea83d9d407c217b6b3d475c3a4322176
COL,Online TA,2,0,0,9e933d8d4fe4de951959bcf1ea05f617aab39788cf1bac45cf42b960a5710f1c
COM,Online TA,2,1,0,459b9fcd264954a570392bc305884a765a8cd0c56c8eaa73d820512a74908950
BRA,Direct,1,0,0,3d42a1f7396b53f9b5d917d04419c16c38e75117ff40873211fa79361b4200e7
ITA,Direct,2,1,0,42fe660b0268589a0e4146cd49817ab33368fb47bc56ebddd5dea1c4b8aa058c
USA,Online TA,4,0,0,e9fbdb2cf370a7fde45a8967108d29d8e0688db7581b188cefc7605070b6ce19
BEL,Direct,2,1,0,28219a7289bae19b51ee8bcb47b627dec8352fa84b925b421dd3fd5f66ab695b
DEU,Groups,3,0,0,529d0a6d7e5a13a9ae5017deeeebaad8e28bfb141a0e607c68f6e51ca2bff7b4
RUS,Online TA,3,0,0,75160ab16da1ed717ad7921aef018bea419a838e9ff40d621e19a5a6c1e0e2ae
IRL,Offline TA/TO,2,1,0,cfc2ccd950efa4bc700b56cf118d895356a3dea2ee2df09cac308c16a1b61b78
ITA,Direct,2,0,0,eb80c450c18fe55f4fca774e4b327e6dfc40c0b0c2268ece065ec507cd4f9209
CYP,Corporate,1,0,0,1b810fb25f1ee5f454db214555217cc6e3b12f37988b9aaa547977a4be0a6007
LTU,Offline TA/TO,1,0,0,18213a3e623101f36a1d2ee731d57c2d838e18aa494617c7e48f8f226479bce1
POL,Online TA,1,0,0,861da9155fd58e6c7fc383a668ee410e9579187a666009088f1a0e4b37d3c807
BEL,Direct,1,0,0,0a4aaca047fd3df53b70db9f55a11a7868b470e9dc2e0e9fef648fc60b9344af
BGR,Direct,1,0,0,533758523ddf98ba35867856f9a1db560fb5062e65cbb1cc7c6f733d48b5f804
SVK,Groups,2,0,0,96d12a01a7accbcfaa07bdc9028c37d9f49635fcbb10909bcac6086dd9014b5f
BGR,Offline TA/TO,2,0,0,87414892130c1e2a4a60f9a82632ef2d38a1390425b6130cae26cd499f82a561
GBR,Direct,4,1,0,500fbbe4bd73041c062dc38b9e765fe7f55194b1a241b0d5f37abe5fef168394
IND,Online TA,3,1,0,e6e142fcf189ae89a65fc8d7a2a2fd27987d72ddad8f38e26d2d77f012218412
USA,Online TA,2,2,0,1318e992efabb58d6dc050c375ed2980480bb95ab00b8bce3dcc765f353d25b6
CHE,Online TA,2,0,0,1f722a939f2da2a00b0929fa207688c42eb1f43fe1c8fec68c3871eff72ca3b5
CAF,Offline TA/TO,1,0,0,4f0fae4293f100b7c543f422656962ed01cfb881d3e05e29d5eb9e4b3a6c5de9
BEL,Online TA,3,0,0,90ebda1cfce7dfa4f8c0a0302dc77c1f83108c6c35d06821e53d65fec1c9420e
MDG,Direct,2,0,0,fff15038116358e495b125cc3ba48079d38f3ac654bf72760f5af85bfea6c579
FIN,Groups,2,0,0,9d35d57e03016c12aedf606eaa3e3ed967aade04930e9f579fa082738034411b
GBR,Direct,2,0,0,69da956ff59b8882fdd2593d08b615cf534f482e0af366e6cb11fb9d3aa91ff3
USA,Groups,2,0,0,51f4ea5f5daf54fcd62711b959e6c8496f80e1ae6270e45b64c5415ed8b2ed10
AUT,Direct,3,0,0,3cf376e42f4fd49783e4cc3168b5d493c8ad7248a9ca48ecd00cdf41baa5768c
CN,Direct,2,1,0,50109a40798d4463afe7d0db13679f2d996e91ba44ae5e5be0da36ebce87ede1
USA,Online TA,3,1,0,9df5b0460e9aef0efd9a2b3b834500d10835816b87fda00332d0f70756e1b9b6
CN,Online TA,1,0,0,4c116e3c46f35d4782b6acd6c7ddb41681c1b4d7788ba5f93f3374ba0e79784a
CHE,Offline TA/TO,1,0,0,81aa0f9241a51ccc0f8f1722dcdf5e181bbf5d53f3a59066da9da6def3db614a
CN,Online TA,3,0,1,cb5a5af764cb31684d00a8c99ed99555be177e9bdc40ab09d18b9b27cec778d6
CN,Corporate,2,0,0,9779d83aedf84db5b18e38a3ceff5b9bb6bbb8c262efe8fae19fd01c8631546e
NOR,Online TA,2,1,1,64dbb04403dbfded2457cd7700fbc5305731f3826362f378b01d8d565c5449dd
ECU,Direct,1,0,0,4d52ddd3ba92c72ef2cd8381cfdaaf84046372e04fb59d8f6c44f547aa54c825
GBR,Offline TA/TO,1,1,1,8dee7562fb8c9dba9169b1815861829d00d8a9e6b15681f672d2611e86af5f93
IRL,Groups,2,0,0,99a1e90510f48022d4e9ebd0340e32da1a9506434abc3df2d2b2bab096bc823f
